CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
4158,1,26,30,35,45,54,28,247000000,05/12/2025
4157,13,22,31,32,42,53,48,247000000,03/12/2025
4156,11,25,33,39,45,50,9,247000000,01/12/2025
4155,5,16,33,38,43,53,10,247000000,30/12/2025
4154,12,29,32,43,48,50,1,247000000,28/12/2025
4153,2,22,35,49,52,56,4,247000000,26/12/2025
4152,2,22,29,31,39,47,44,247000000,24/12/2025
4151,1,4,27,32,39,48,11,247000000,21/12/2025
4150,3,24,28,36,47,53,37,243200000,19/12/2025
4149,2,4,11,19,43,50,47,238600000,17/12/2025
4148,4,7,17,18,33,43,45,235700000,14/12/2025
4147,4,9,24,39,44,48,1,231100000,12/12/2025
4146,4,22,29,38,44,50,9,226600000,10/12/2025
4145,3,12,13,18,22,28,38,224200000,07/12/2025
4144,1,4,28,44,52,55,5,219700000,05/12/2025
4143,1,6,29,41,42,43,56,214900000,03/12/2025
4142,16,32,40,46,49,52,1,210500000,30/11/2025
4141,6,9,13,22,34,53,44,206600000,28/11/2025
4140,16,21,28,34,42,53,40,202300000,26/11/2025
4139,7,22,24,32,38,41,56,199200000,23/11/2025
4138,5,8,29,42,47,56,12,195100000,21/11/2025
4137,6,12,30,42,45,53,13,191000000,19/11/2025
4136,13,14,23,25,36,55,8,188000000,16/11/2025
4135,1,11,25,31,54,55,2,183900000,14/11/2025
4134,17,21,22,40,46,49,2,179600000,12/11/2025
4133,3,16,23,30,38,53,49,176500000,09/11/2025
4132,24,31,35,40,45,51,12,171600000,07/11/2025
4131,1,19,24,25,31,38,9,167500000,05/11/2025
4130,6,21,30,36,48,52,11,164200000,02/11/2025
4129,4,9,13,27,29,44,32,160900000,31/10/2025
4128,6,11,12,18,30,44,43,157600000,29/10/2025
4127,14,25,26,28,38,54,13,154900000,26/10/2025
4126,17,30,31,33,36,44,50,151100000,24/10/2025
4125,1,5,7,8,32,40,36,147500000,22/10/2025
4124,2,13,20,23,39,44,25,144300000,19/10/2025
4123,3,9,17,34,41,48,2,140600000,17/10/2025
4122,10,29,30,33,45,47,24,136400000,15/10/2025
4121,6,21,30,41,47,48,29,133400000,12/10/2025
4120,15,36,40,43,44,47,48,129600000,10/10/2025
4119,18,39,41,45,46,50,25,125500000,08/10/2025
4118,1,7,12,26,27,48,29,123000000,05/10/2025
4117,15,21,25,30,32,35,20,119200000,03/10/2025
4116,9,14,19,23,34,54,32,115600000,01/10/2025
4115,6,10,35,43,44,47,56,112500000,28/09/2025
4114,23,31,32,35,47,50,13,108600000,26/09/2025
4113,31,33,43,50,53,55,56,104000000,24/09/2025
4112,4,5,13,41,46,50,24,101000000,21/09/2025
4111,2,5,13,24,25,34,29,98000000,19/09/2025
4110,3,12,15,29,36,50,27,94900000,17/09/2025
4109,3,7,12,24,42,55,19,93000000,14/09/2025
4108,10,23,26,29,36,49,24,89300000,12/09/2025
4107,8,17,20,26,28,33,3,86100000,10/09/2025
4106,1,17,28,40,48,54,14,82700000,07/09/2025
4105,19,27,33,41,42,50,56,79600000,05/09/2025
4104,9,11,17,31,52,56,18,75900000,03/09/2025
4103,2,3,26,34,48,55,39,72700000,31/08/2025
4102,3,14,20,22,24,45,52,69500000,29/08/2025
4101,2,15,18,42,47,49,7,65900000,27/08/2025
4100,6,12,21,36,47,52,11,63500000,24/08/2025
4099,11,40,45,53,54,55,28,59600000,22/08/2025
4098,10,22,30,42,48,54,35,55400000,20/08/2025
4097,7,28,39,40,41,54,29,52300000,17/08/2025
4096,2,18,32,44,48,55,3,48700000,15/08/2025
4095,15,18,32,47,49,51,29,44900000,13/08/2025
4094,3,9,13,15,25,47,18,42900000,10/08/2025
4093,5,6,16,40,41,55,33,39000000,08/08/2025
4092,6,17,23,26,29,38,3,35900000,06/08/2025
4091,7,15,18,20,50,52,26,33500000,03/08/2025
4090,1,3,12,16,35,53,40,30800000,01/08/2025
4089,2,17,22,33,35,47,38,30700000,30/07/2025
4088,20,21,28,43,44,49,40,30600000,27/07/2025
4087,10,28,31,38,40,49,43,30500000,25/07/2025
4086,10,24,29,39,52,54,36,30400000,23/07/2025
4085,8,14,16,22,37,40,12,30300000,20/07/2025
4084,3,17,28,44,50,51,32,30200000,18/07/2025
4083,14,21,38,46,47,49,41,30100000,16/07/2025
4082,1,17,19,34,48,50,14,30000000,13/07/2025
4081,4,11,22,28,33,50,24,30700000,11/07/2025
4080,5,11,24,25,37,44,12,30600000,09/07/2025
4079,4,19,37,39,44,48,36,30500000,06/07/2025
4078,13,28,43,50,55,56,49,30400000,04/07/2025
4077,14,19,24,35,54,55,29,30300000,02/07/2025
4076,13,15,20,41,44,45,49,30200000,29/06/2025
4075,8,12,15,18,20,34,44,30100000,27/06/2025
